Close,Date,High,Low,Open,Volume
1.124,2015-09-02T11:00:00.000000000Z,1.12719,1.12345,1.12677,4905
1.12298,2015-09-02T13:00:00.000000000Z,1.12495,1.12225,1.12398,7165
1.12351,2015-09-02T15:00:00.000000000Z,1.125,1.12252,1.12298,3176
1.12381,2015-09-02T17:00:00.000000000Z,1.12482,1.12348,1.12352,2318
1.12267,2015-09-02T19:00:00.000000000Z,1.12414,1.12167,1.12383,1962
1.12218,2015-09-02T21:00:00.000000000Z,1.12277,1.12153,1.12262,916
1.12131,2015-09-02T23:00:00.000000000Z,1.12224,1.12054,1.12215,1265
1.12162,2015-09-03T01:00:00.000000000Z,1.12245,1.12134,1.12134,1295
1.12186,2015-09-03T03:00:00.000000000Z,1.12241,1.12126,1.1216,770
1.12204,2015-09-03T05:00:00.000000000Z,1.12352,1.12142,1.1219,1459
1.12405,2015-09-03T07:00:00.000000000Z,1.12433,1.12205,1.12205,4031
1.1224,2015-09-03T09:00:00.000000000Z,1.12417,1.12154,1.12408,2365
1.11193,2015-09-03T11:00:00.000000000Z,1.12373,1.11103,1.12243,11157
1.10953,2015-09-03T13:00:00.000000000Z,1.11515,1.10903,1.11193,9807
1.11172,2015-09-03T15:00:00.000000000Z,1.11226,1.10874,1.1095,4009
1.1116,2015-09-03T17:00:00.000000000Z,1.11398,1.1113,1.1117,3885
1.11235,2015-09-03T19:00:00.000000000Z,1.11339,1.11144,1.11157,2336
1.11204,2015-09-03T21:00:00.000000000Z,1.11241,1.11169,1.11237,786
1.11284,2015-09-03T23:00:00.000000000Z,1.11345,1.11159,1.11207,1429
1.11255,2015-09-04T01:00:00.000000000Z,1.1133,1.1122,1.11286,1359
1.1131,2015-09-04T03:00:00.000000000Z,1.11393,1.11205,1.11259,2029
1.11312,2015-09-04T05:00:00.000000000Z,1.11386,1.11227,1.11312,2573
1.11408,2015-09-04T07:00:00.000000000Z,1.11615,1.11286,1.11316,4091
1.1136,2015-09-04T09:00:00.000000000Z,1.11481,1.1129,1.11411,2353
1.11284,2015-09-04T11:00:00.000000000Z,1.11919,1.10898,1.11357,10261
1.11156,2015-09-04T13:00:00.000000000Z,1.114,1.10944,1.11286,8651
1.1144,2015-09-04T15:00:00.000000000Z,1.11478,1.11056,1.11156,4646
1.11482,2015-09-04T17:00:00.000000000Z,1.11762,1.11424,1.11436,3563
1.11489,2015-09-04T19:00:00.000000000Z,1.11559,1.11324,1.11484,2237
1.11454,2015-09-06T21:00:00.000000000Z,1.11641,1.11428,1.11632,779
1.11664,2015-09-06T23:00:00.000000000Z,1.11745,1.11424,1.11456,2275
1.11529,2015-09-07T01:00:00.000000000Z,1.11693,1.11465,1.11666,2102
